budget_month,region,category,budget_sales,budget_profit,budget_method
2026-01-01,Central,Furniture,4112.54,265.93,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,Central,Office Supplies,343.05,132.87,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,Central,Technology,1961.94,177.4,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,East,Furniture,1267.24,51.37,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,East,Office Supplies,2802.63,598.02,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,East,Technology,1489.89,367.65,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,South,Furniture,843.68,-25.92,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,South,Office Supplies,1799.1,807.39,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,South,Technology,1766.24,242.67,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,West,Furniture,2079.5,149.55,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,West,Office Supplies,793.09,257.44,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-01-01,West,Technology,1077.86,328.29,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,Central,Furniture,425.99,-89.76,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,Central,Office Supplies,703.47,-53.67,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,Central,Technology,75.52,1.51,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,East,Furniture,1473.99,170.3,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,East,Office Supplies,1689.75,410.6,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,East,Technology,238.06,72.7,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,South,Furniture,1721.75,351.08,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
2026-02-01,South,Office Supplies,3727.39,872.85,Prior-year actual + 8% sales growth; prior margin + 1 percentage point
