month,region,category,sales,profit,result_type,profit_margin,source_year,sales_growth_assumption,margin_improvement_assumption,forecast_method
2023-01-01,Central,Furniture,506.358,20.9235,Actual,0.041322,2023,,,Source actual
2023-01-01,Central,Office Supplies,1002.348,87.8167,Actual,0.087611,2023,,,Source actual
2023-01-01,Central,Technology,31.2,9.75,Actual,0.3125,2023,,,Source actual
2023-01-01,East,Furniture,264.184,5.8242,Actual,0.022046,2023,,,Source actual
2023-01-01,East,Office Supplies,119.45,16.4094,Actual,0.137375,2023,,,Source actual
2023-01-01,East,Technology,333.7,27.61,Actual,0.082739,2023,,,Source actual
2023-01-01,South,Furniture,4378.728,1130.2568,Actual,0.258124,2023,,,Source actual
2023-01-01,South,Office Supplies,1955.474,339.3336,Actual,0.17353,2023,,,Source actual
2023-01-01,South,Technology,2987.89,877.0736,Actual,0.293543,2023,,,Source actual
2023-01-01,West,Furniture,1158.435,-324.108,Actual,-0.279781,2023,,,Source actual
2023-01-01,West,Office Supplies,1780.288,348.5009,Actual,0.195755,2023,,,Source actual
2023-02-01,Central,Furniture,439.31,64.0797,Actual,0.145864,2023,,,Source actual
2023-02-01,Central,Office Supplies,262.654,1.9794,Actual,0.007536,2023,,,Source actual
2023-02-01,Central,Technology,531.21,228.7476,Actual,0.430616,2023,,,Source actual
2023-02-01,East,Office Supplies,84.416,13.1488,Actual,0.155762,2023,,,Source actual
2023-02-01,East,Technology,115.36,49.6048,Actual,0.43,2023,,,Source actual
2023-02-01,South,Furniture,1256.22,75.3732,Actual,0.06,2023,,,Source actual
2023-02-01,South,Office Supplies,50.796,3.1822,Actual,0.062647,2023,,,Source actual
2023-02-01,South,Technology,721.97,200.7841,Actual,0.278106,2023,,,Source actual
2023-02-01,West,Furniture,144.128,-18.7612,Actual,-0.13017,2023,,,Source actual
2023-02-01,West,Office Supplies,673.858,157.7806,Actual,0.234145,2023,,,Source actual
2023-02-01,West,Technology,239.97,86.3892,Actual,0.36,2023,,,Source actual
2023-03-01,Central,Furniture,3639.29,-305.2842,Actual,-0.083886,2023,,,Source actual
2023-03-01,Central,Office Supplies,1281.474,-226.9871,Actual,-0.17713,2023,,,Source actual
2023-03-01,Central,Technology,906.838,258.2246,Actual,0.284753,2023,,,Source actual
2023-03-01,East,Furniture,4273.374,-1399.4013,Actual,-0.32747,2023,,,Source actual
2023-03-01,East,Office Supplies,1022.914,374.3077,Actual,0.365923,2023,,,Source actual
2023-03-01,East,Technology,647.1,215.9181,Actual,0.33367,2023,,,Source actual
2023-03-01,South,Furniture,2740.56,414.5204,Actual,0.151254,2023,,,Source actual
2023-03-01,South,Office Supplies,1623.785,260.8797,Actual,0.160661,2023,,,Source actual
2023-03-01,South,Technology,28546.776,-627.6753,Actual,-0.021988,2023,,,Source actual
2023-03-01,West,Furniture,5163.632,356.2301,Actual,0.068988,2023,,,Source actual
2023-03-01,West,Office Supplies,4677.706,862.213,Actual,0.184324,2023,,,Source actual
2023-03-01,West,Technology,2410.46,510.5042,Actual,0.211787,2023,,,Source actual
2023-04-01,Central,Furniture,1468.218,-243.3865,Actual,-0.16577,2023,,,Source actual
2023-04-01,Central,Office Supplies,1257.794,178.845,Actual,0.142189,2023,,,Source actual
2023-04-01,Central,Technology,986.328,293.9202,Actual,0.297994,2023,,,Source actual
2023-04-01,East,Furniture,929.414,-141.1357,Actual,-0.151855,2023,,,Source actual
2023-04-01,East,Office Supplies,1756.82,-172.5657,Actual,-0.098226,2023,,,Source actual
2023-04-01,East,Technology,368.672,93.0762,Actual,0.252463,2023,,,Source actual
2023-04-01,South,Furniture,2016.104,448.3016,Actual,0.22236,2023,,,Source actual
2023-04-01,South,Office Supplies,7088.602,665.2837,Actual,0.093853,2023,,,Source actual
2023-04-01,South,Technology,3079.906,737.0419,Actual,0.239307,2023,,,Source actual
2023-04-01,West,Furniture,3531.101,490.6007,Actual,0.138937,2023,,,Source actual
2023-04-01,West,Office Supplies,1051.858,328.6456,Actual,0.312443,2023,,,Source actual
2023-04-01,West,Technology,4760.528,810.2082,Actual,0.170193,2023,,,Source actual
2023-05-01,Central,Furniture,2304.382,-401.3119,Actual,-0.174152,2023,,,Source actual
2023-05-01,Central,Office Supplies,797.596,-257.2424,Actual,-0.322522,2023,,,Source actual
2023-05-01,Central,Technology,946.528,152.5372,Actual,0.161154,2023,,,Source actual
2023-05-01,East,Furniture,3499.713,137.5667,Actual,0.039308,2023,,,Source actual
2023-05-01,East,Office Supplies,2454.466,934.3496,Actual,0.380673,2023,,,Source actual
2023-05-01,East,Technology,3098.954,195.4824,Actual,0.06308,2023,,,Source actual
2023-05-01,South,Furniture,310.88,23.316,Actual,0.075,2023,,,Source actual
